DTC CODE,NAME,ORIGIN,SEVERITY,SUBSCRIBERS,DATA,MESSAGE
1,CELL_VOLTAGE_LOW,BMU,4,"DCU,VCU_F7,VCU_BEAGLEBONE",CellNumber,The #data is low
2,CELL_VOLTAGE_LOW,BMU,3,"DCU,VCU_F7,VCU_BEAGLEBONE",CellNumber,The #data is Critical
3,CELL_VOLTAGE_HIGH,BMU,4,"DCU,VCU_F7,VCU_BEAGLEBONE",CellNumber,The #data is low
4,CELL_VOLTAGE_HIGH,BMU,3,"DCU,VCU_F7,VCU_BEAGLEBONE",CellNumber,The #data is Critical
5,CONTACTOR_OPEN_IMPEDNING,BMU,1,"DCU,VCU_F7,VCU_BEAGLEBONE",NA,BMS is opening contactors
6,CONTACTOR_WELDED_SHUT_POS,BMU,1,"DCU,VCU_F7,VCU_BEAGLEBONE",NA,The positive contactor is welded shut
7,CONTACTOR_WELDED_SHUT_NEG,BMU,1,"DCU,VCU_F7,VCU_BEAGLEBONE",NA,The negative contactor is welded shut
8,CONTACTOR_COIL_FAILURE_POS,BMU,1,"DCU,VCU_F7,VCU_BEAGLEBONE",NA,The positive contactor coil has faild open
9,CONTACTOR_COIL_FAILURE_NEG,BMU,1,"DCU,VCU_F7,VCU_BEAGLEBONE",NA,The negative contactor coil has faild open
10,CONTACTOR_PRECHARGE_STUCK_ON,BMU,1,"DCU,VCU_F7,VCU_BEAGLEBONE",NA,The precharge relay is stuck closed
11,CONTACTOR_PRECHARGE_STUCK_OFF,BMU,1,"DCU,VCU_F7,VCU_BEAGLEBONE",NA,The precharge relay is stuck open
12,CONTACTOR_PRECHARGE_RESISTOR_SHORT,BMU,1,"DCU,VCU_F7,VCU_BEAGLEBONE",NA,The precharge resistor has failed open
13,CONTACTOR_PRECHARGE_RESISTOR_OPEN,BMU,1,"DCU,VCU_F7,VCU_BEAGLEBONE",NA,The precharge resistor has failed short
14,INSULATION_RESISTANCE_LOW,BMU,3,"DCU,VCU_F7,VCU_BEAGLEBONE",Resistance,The insulation resistance: #data is abnormaly low
15,INSULATION_RESISTANCE_LOW,BMU,4,"DCU,VCU_F7,VCU_BEAGLEBONE",Resistance,The insulation resistance: #data is critically low
16,EM_ENABLE_FAILED,VCU_F7,4,"DCU,BMY,VCU_BEAGLEBONE",Reason,The vcu failed to em enable for reason #data